number,PF,dedupPF,divisor
1,[1],[1],[]
2,[2],[2],[]
3,[3],[3],[]
4,"[2, 2]",[2],[2]
5,[5],[5],[]
6,"[2, 3]","[2, 3]","[2, 3]"
7,[7],[7],[]
8,"[2, 2, 2]",[2],"[2, 4]"
9,"[3, 3]",[3],[3]
10,"[2, 5]","[2, 5]","[2, 5]"
11,[11],[11],[]
12,"[2, 2, 3]","[2, 3]","[2, 3, 4, 6]"
13,[13],[13],[]
14,"[2, 7]","[2, 7]","[2, 7]"
15,"[3, 5]","[3, 5]","[3, 5]"
16,"[2, 2, 2, 2]",[2],"[2, 4, 8]"
17,[17],[17],[]
18,"[2, 3, 3]","[2, 3]","[2, 3, 6, 9]"
19,[19],[19],[]
20,"[2, 2, 5]","[2, 5]","[2, 4, 5, 10]"
21,"[3, 7]","[3, 7]","[3, 7]"
22,"[2, 11]","[2, 11]","[2, 11]"
23,[23],[23],[]
24,"[2, 2, 2, 3]","[2, 3]","[2, 3, 4, 6, 8, 12]"
25,"[5, 5]",[5],[5]
26,"[2, 13]","[2, 13]","[2, 13]"
27,"[3, 3, 3]",[3],"[3, 9]"
28,"[2, 2, 7]","[2, 7]","[2, 4, 7, 14]"
29,[29],[29],[]
30,"[2, 3, 5]","[2, 3, 5]","[2, 3, 5, 6, 10, 15]"
31,[31],[31],[]
32,"[2, 2, 2, 2, 2]",[2],"[2, 4, 8, 16]"
33,"[3, 11]","[3, 11]","[3, 11]"
34,"[2, 17]","[2, 17]","[2, 17]"
35,"[5, 7]","[5, 7]","[5, 7]"
36,"[2, 2, 3, 3]","[2, 3]","[2, 3, 4, 6, 9, 12, 18]"
37,[37],[37],[]
38,"[2, 19]","[2, 19]","[2, 19]"
39,"[3, 13]","[3, 13]","[3, 13]"
40,"[2, 2, 2, 5]","[2, 5]","[2, 4, 5, 8, 10, 20]"
41,[41],[41],[]
42,"[2, 3, 7]","[2, 3, 7]","[2, 3, 6, 7, 14, 21]"
43,[43],[43],[]
44,"[2, 2, 11]","[2, 11]","[2, 4, 11, 22]"
45,"[3, 3, 5]","[3, 5]","[3, 5, 9, 15]"
46,"[2, 23]","[2, 23]","[2, 23]"
47,[47],[47],[]
48,"[2, 2, 2, 2, 3]","[2, 3]","[2, 3, 4, 6, 8, 12, 16, 24]"
49,"[7, 7]",[7],[7]
50,"[2, 5, 5]","[2, 5]","[2, 5, 10, 25]"
51,"[3, 17]","[3, 17]","[3, 17]"
52,"[2, 2, 13]","[2, 13]","[2, 4, 13, 26]"
53,[53],[53],[]
54,"[2, 3, 3, 3]","[2, 3]","[2, 3, 6, 9, 18, 27]"
55,"[5, 11]","[5, 11]","[5, 11]"
56,"[2, 2, 2, 7]","[2, 7]","[2, 4, 7, 8, 14, 28]"
57,"[3, 19]","[3, 19]","[3, 19]"
58,"[2, 29]","[2, 29]","[2, 29]"
59,[59],[59],[]
60,"[2, 2, 3, 5]","[2, 3, 5]","[2, 3, 4, 5, 6, 10, 12, 15, 20, 30]"
61,[61],[61],[]
62,"[2, 31]","[2, 31]","[2, 31]"
63,"[3, 3, 7]","[3, 7]","[3, 7, 9, 21]"
64,"[2, 2, 2, 2, 2, 2]",[2],"[2, 4, 8, 16, 32]"
65,"[5, 13]","[5, 13]","[5, 13]"
66,"[2, 3, 11]","[2, 3, 11]","[2, 3, 6, 11, 22, 33]"
67,[67],[67],[]
68,"[2, 2, 17]","[2, 17]","[2, 4, 17, 34]"
69,"[3, 23]","[3, 23]","[3, 23]"
70,"[2, 5, 7]","[2, 5, 7]","[2, 5, 7, 10, 14, 35]"
71,[71],[71],[]
72,"[2, 2, 2, 3, 3]","[2, 3]","[2, 3, 4, 6, 8, 9, 12, 18, 24, 36]"
73,[73],[73],[]
74,"[2, 37]","[2, 37]","[2, 37]"
75,"[3, 5, 5]","[3, 5]","[3, 5, 15, 25]"
76,"[2, 2, 19]","[2, 19]","[2, 4, 19, 38]"
77,"[7, 11]","[7, 11]","[7, 11]"
78,"[2, 3, 13]","[2, 3, 13]","[2, 3, 6, 13, 26, 39]"
79,[79],[79],[]
80,"[2, 2, 2, 2, 5]","[2, 5]","[2, 4, 5, 8, 10, 16, 20, 40]"
81,"[3, 3, 3, 3]",[3],"[3, 9, 27]"
82,"[2, 41]","[2, 41]","[2, 41]"
83,[83],[83],[]
84,"[2, 2, 3, 7]","[2, 3, 7]","[2, 3, 4, 6, 7, 12, 14, 21, 28, 42]"
85,"[5, 17]","[5, 17]","[5, 17]"
86,"[2, 43]","[2, 43]","[2, 43]"
87,"[3, 29]","[3, 29]","[3, 29]"
88,"[2, 2, 2, 11]","[2, 11]","[2, 4, 8, 11, 22, 44]"
89,[89],[89],[]
90,"[2, 3, 3, 5]","[2, 3, 5]","[2, 3, 5, 6, 9, 10, 15, 18, 30, 45]"
91,"[7, 13]","[7, 13]","[7, 13]"
92,"[2, 2, 23]","[2, 23]","[2, 4, 23, 46]"
93,"[3, 31]","[3, 31]","[3, 31]"
94,"[2, 47]","[2, 47]","[2, 47]"
